datetime,month,year,position,mean,sd
2017-11-26T00:00:00Z,11,2017,1m,18.864722222222223,0.10590894918138664
2017-11-26T00:00:00Z,11,2017,surface,18.920416666666668,0.08765695214152272
2017-11-27T00:00:00Z,11,2017,0m,18.988611111111112,0.3840356392099207
2017-11-27T00:00:00Z,11,2017,1m,19.04222222222222,0.34662094014366224
2017-11-27T00:00:00Z,11,2017,surface,19.12152777777778,0.3636803319377936
2017-11-28T00:00:00Z,11,2017,0m,19.06875,0.2522926345071796
2017-11-28T00:00:00Z,11,2017,1m,19.08361111111111,0.19741904992751144
2017-11-28T00:00:00Z,11,2017,surface,19.165416666666665,0.19990513484416259
2017-11-29T00:00:00Z,11,2017,0m,19.147777777777776,0.06744533600534054
2017-11-29T00:00:00Z,11,2017,1m,19.114305555555557,0.061617507022900246
2017-11-29T00:00:00Z,11,2017,surface,19.134444444444444,0.06436106386897705
2017-11-30T00:00:00Z,11,2017,0m,18.6525,0.19064667279067282
2017-11-30T00:00:00Z,11,2017,1m,18.653333333333332,0.179774528559752
2017-11-30T00:00:00Z,11,2017,surface,18.68486111111111,0.1829401908879334
2017-12-01T00:00:00Z,12,2017,0m,17.715,0.2583811896420464
2017-12-01T00:00:00Z,12,2017,1m,17.741944444444446,0.23005404587805905
2017-12-01T00:00:00Z,12,2017,surface,17.756944444444443,0.234438110513687
2017-12-02T00:00:00Z,12,2017,0m,17.752083333333335,0.2987921489124976
2017-12-02T00:00:00Z,12,2017,1m,17.827638888888888,0.26579340552604847
2017-12-02T00:00:00Z,12,2017,surface,17.886111111111113,0.2692572303568766
2017-12-03T00:00:00Z,12,2017,0m,17.983888888888888,0.27313541074520653
2017-12-03T00:00:00Z,12,2017,1m,18.045,0.227869426480332
2017-12-03T00:00:00Z,12,2017,surface,18.08972222222222,0.23382482369083102
2017-12-04T00:00:00Z,12,2017,0m,17.77625,0.2520513739397091
2017-12-04T00:00:00Z,12,2017,1m,17.820694444444445,0.2609762542523846
2017-12-04T00:00:00Z,12,2017,surface,17.85625,0.2649181823821148
2017-12-05T00:00:00Z,12,2017,0m,16.861666666666668,0.20880613017821084
2017-12-05T00:00:00Z,12,2017,1m,16.94638888888889,0.20849984022100185
2017-12-05T00:00:00Z,12,2017,surface,17.008055555555554,0.22302835524131726
2017-12-06T00:00:00Z,12,2017,0m,17.07111111111111,0.2666002248230108
2017-12-06T00:00:00Z,12,2017,1m,17.205833333333334,0.2795088099240787
2017-12-06T00:00:00Z,12,2017,surface,17.277361111111112,0.3130383164534137
2017-12-07T00:00:00Z,12,2017,0m,17.77486111111111,0.18238124256051555
2017-12-07T00:00:00Z,12,2017,1m,17.827222222222222,0.15635017379388136
2017-12-07T00:00:00Z,12,2017,surface,17.890555555555554,0.1429938517812622
2017-12-08T00:00:00Z,12,2017,0m,17.07361111111111,0.36941573811626877
2017-12-08T00:00:00Z,12,2017,1m,17.04986111111111,0.3844821894464736
2017-12-08T00:00:00Z,12,2017,surface,17.089027777777776,0.3838985141324061
2017-12-09T00:00:00Z,12,2017,0m,16.90833333333333,0.2939530432031476
2017-12-09T00:00:00Z,12,2017,1m,17.011805555555554,0.3541041148655634
2017-12-09T00:00:00Z,12,2017,surface,17.074583333333333,0.38945699153019236
2017-12-10T00:00:00Z,12,2017,0m,17.310833333333335,0.13194351408497101
2017-12-10T00:00:00Z,12,2017,1m,17.363333333333333,0.13920855210446312
2017-12-10T00:00:00Z,12,2017,surface,17.401805555555555,0.14499410539153176
2017-12-11T00:00:00Z,12,2017,0m,16.52541666666667,0.23487796265860575
2017-12-11T00:00:00Z,12,2017,1m,16.49972222222222,0.2344699257392005
2017-12-11T00:00:00Z,12,2017,surface,16.54013888888889,0.23369930507035142
2017-12-12T00:00:00Z,12,2017,0m,16.1525,0.0682191040240646
2017-12-12T00:00:00Z,12,2017,1m,16.152083333333334,0.07976254093910848
2017-12-12T00:00:00Z,12,2017,surface,16.18625,0.08050431079106302
2017-12-13T00:00:00Z,12,2017,0m,15.976944444444444,0.217259722686436
2017-12-13T00:00:00Z,12,2017,1m,15.995555555555555,0.20112195019449977
2017-12-13T00:00:00Z,12,2017,surface,16.021527777777777,0.2023924023714441
2017-12-14T00:00:00Z,12,2017,0m,16.050416666666667,0.24524534597068226
2017-12-14T00:00:00Z,12,2017,1m,16.15486111111111,0.21489625440058324
2017-12-14T00:00:00Z,12,2017,surface,16.239166666666666,0.22404888327751643
2017-12-15T00:00:00Z,12,2017,0m,16.65138888888889,0.33446044872868264
2017-12-15T00:00:00Z,12,2017,1m,16.70138888888889,0.2884504323166325
2017-12-15T00:00:00Z,12,2017,surface,16.77388888888889,0.26994200649155503
2017-12-16T00:00:00Z,12,2017,0m,16.233055555555556,0.27295143597806276
2017-12-16T00:00:00Z,12,2017,1m,16.254305555555554,0.29415435931120765
2017-12-16T00:00:00Z,12,2017,surface,16.297361111111112,0.2972437160459861
2018-01-17T00:00:00Z,1,2018,0m,14.673055555555555,0.10496271584315886
2018-01-17T00:00:00Z,1,2018,1m,14.616111111111111,0.0953250685122686
2018-01-17T00:00:00Z,1,2018,surface,14.558055555555555,0.06981772249589911
2018-01-18T00:00:00Z,1,2018,0m,14.567638888888888,0.20215616102932268
2018-01-18T00:00:00Z,1,2018,1m,14.509305555555555,0.1932557013978272
2018-01-18T00:00:00Z,1,2018,surface,14.519305555555556,0.17386455936701137
2018-01-19T00:00:00Z,1,2018,0m,14.206111111111111,0.20271276006325564
2018-01-19T00:00:00Z,1,2018,1m,14.219027777777777,0.1575570468091575
2018-01-19T00:00:00Z,1,2018,surface,14.300972222222223,0.13991665573358522
2018-01-20T00:00:00Z,1,2018,0m,14.019027777777778,0.2584442952909849
2018-01-20T00:00:00Z,1,2018,1m,14.050694444444444,0.21033324467395495
2018-01-20T00:00:00Z,1,2018,surface,14.120833333333334,0.2029967790574331
2018-01-21T00:00:00Z,1,2018,0m,13.943888888888889,0.33347735816266205
2018-01-21T00:00:00Z,1,2018,1m,14.04375,0.25823466045467225
2018-01-21T00:00:00Z,1,2018,surface,14.112083333333333,0.2474735982245011
2018-01-22T00:00:00Z,1,2018,0m,14.041805555555555,0.13720309471615125
2018-01-22T00:00:00Z,1,2018,1m,14.032777777777778,0.132445763774763
2018-01-22T00:00:00Z,1,2018,surface,13.863194444444444,0.261728126644066
2018-01-23T00:00:00Z,1,2018,0m,13.503472222222221,0.19431543616884558
2018-01-23T00:00:00Z,1,2018,1m,13.505277777777778,0.19373381076309173
2018-01-23T00:00:00Z,1,2018,surface,13.560833333333333,0.21230503190792852
2018-01-24T00:00:00Z,1,2018,0m,13.030277777777778,0.185984225379821
2018-01-24T00:00:00Z,1,2018,1m,13.029166666666667,0.21049226353239922
2018-01-24T00:00:00Z,1,2018,surface,13.068194444444444,0.22038000486057374
2018-01-25T00:00:00Z,1,2018,0m,12.904305555555556,0.1444771270777497
2018-01-25T00:00:00Z,1,2018,1m,12.958472222222222,0.12961653743040186
2018-01-25T00:00:00Z,1,2018,surface,12.999166666666667,0.1434027045223891
2018-01-26T00:00:00Z,1,2018,0m,12.643055555555556,0.20057706182701376
2018-01-26T00:00:00Z,1,2018,1m,12.638333333333334,0.2046248486165076
2018-01-26T00:00:00Z,1,2018,surface,12.678055555555556,0.22461553096822298
2018-01-27T00:00:00Z,1,2018,0m,12.984583333333333,0.5612658956273805
